"","YEAR","TOTAL","Dolnoslaskie","Kujawsko-pomorskie","Lubelskie","Lubuskie","Lodzkie","Malopolskie","Mazowieckie","Opolskie","Podkarpackie","Podlaskie","Pomorskie","Slaskie","Swietokrzyskie","Warminsko-mazurskie","Wielkopolskie","Zachodniopomorskie"
"1","X2006",28056,30076,24259,19359,25155,25863,25308,43494,22852,20039,20378,27690,29744,21921,20921,29819,25212
"2","X2007",31158,33942,26854,21745,27778,28751,27739,48330,26176,21961,23113,30729,32915,24762,23009,32895,27539
"3","X2008",33741,36507,28965,23956,29265,31324,30257,51600,29043,24191,24599,32259,36146,27762,24886,35669,30205
"4","X2009",35658,38845,29746,24489,30388,32822,31651,55738,29892,25159,26130,34829,38339,28090,25988,38431,30821
"5","X2010",37524,42295,31127,25875,31723,34747,32909,59666,30818,26122,27381,36017,40201,28968,27197,39454,32061
"6","X2011",40669,46296,33231,28282,33738,37620,36119,64473,33237,28545,29672,39054,43693,30957,29257,42753,34116
"7","X2012",42285,47986,34365,29648,35078,39403,37334,67389,34152,29554,30288,41341,44863,31642,30232,44774,35453
"8","X2013",43034,48179,35280,30449,35786,40145,38167,69028,34640,30585,31374,41457,44796,31392,30776,46150,35851
"9","X2014",44705,50061,36387,31192,37637,41869,39834,71715,36299,31644,32352,42570,46511,32643,31957,48015,37477
"10","X2015",46814,52237,38202,32077,39053,43790,42172,74738,37818,33177,33276,45001,48686,33844,33186,50821,39585
"11","X2016",48433,53659,39503,33371,40639,45199,43865,77360,38553,34120,34300,46913,50184,34633,34532,52844,40594
"12","X2017",51776,57228,41875,35712,42755,48126,47272,83123,41080,36088,37077,50001,53654,36970,36306,56496,43150
