"","Year","Rich","Avg","Poor"
"1","X2006",39559.25,19534.5714285714,15853
"2","X2007",41175.75,20232.1428571429,16309
"3","X2008",44120,21680.8571428571,17250.6
"4","X2009",44602.25,21766.7142857143,17362.6
"5","X2010",44757,21357.5714285714,16953.8
"6","X2011",41950.75,20087.8571428571,15999.6
"7","X2012",41729.5,20008.5714285714,15855.8
"8","X2013",40148.75,19129.5714285714,15014.8
"9","X2014",41008.25,19371.8571428571,15104.8
"10","X2015",40521.25,19059.5714285714,14761.2
"11","X2016",42004.25,19840.8571428571,15070.8
"12","X2017",43918,20854.7142857143,16065.4
"13","X2018",42412.25,20099.5714285714,15566.4
