"","YEAR","TOTAL","Dolnoslaskie","Kujawsko-pomorskie","Lubelskie","Lubuskie","Lodzkie","Malopolskie","Mazowieckie","Opolskie","Podkarpackie","Podlaskie","Pomorskie","Slaskie","Swietokrzyskie","Warminsko-mazurskie","Wielkopolskie","Zachodniopomorskie"
"1","X2006",156244,8553,9365,11956,4015,9186,17872,18685,3943,12722,4715,9486,9049,6619,6941,17194,5943
"2","X2007",162235,8905,9704,12128,4244,9283,18729,19700,3974,13049,4696,10109,9761,7048,7123,17853,5929
"3","X2008",173211,9388,10400,12931,4457,10003,20259,20674,4391,13708,5031,10969,10523,7406,7352,19473,6246
"4","X2009",171160,9559,9875,12317,4413,9943,19950,21413,4418,13551,4897,10665,10782,7289,7095,18711,6282
"5","X2010",171380,9449,9855,12356,4293,9791,19992,21767,4398,13414,4795,10648,11075,7122,7083,19194,6148
"6","X2011",162715,8913,9209,11839,4024,9261,19416,20279,4244,12898,4545,10154,10726,6695,6689,18186,5637
"7","X2012",162442,8871,9353,11729,4020,9401,19140,20512,4378,12873,4464,10165,10603,6662,6452,18098,5721
"8","X2013",155827,8280,8737,10910,3811,8853,18726,19924,4089,12430,4234,9690,10348,6381,6213,17623,5578
"9","X2014",157461,8841,8861,10799,3793,8886,18853,20009,4249,12150,4377,10027,10459,6328,6374,18016,5439
"10","X2015",151917,8405,8175,10415,3357,8647,18473,19931,3978,11795,4114,9606,10180,6201,5777,17707,5156
"11","X2016",155961,8677,8394,10531,3479,8806,18914,20219,4246,12206,4295,10043,10413,6263,5893,18255,5327
"12","X2017",165839,9323,9035,11275,3750,9438,19974,21600,4327,13388,4284,11097,10976,6445,6109,19470,5348
"13","X2018",159464,8913,8655,10988,3309,9011,20005,20674,4064,13190,4229,10710,10475,6274,5286,18634,5047
