"","YEAR","TOTAL","Dolnoslaskie","Kujawsko-pomorskie","Lubelskie","Lubuskie","Lodzkie","Malopolskie","Mazowieckie","Opolskie","Podkarpackie","Podlaskie","Pomorskie","Slaskie","Swietokrzyskie","Warminsko-mazurskie","Wielkopolskie","Zachodniopomorskie"
"1","X2006",374244,26552,21142,21496,10423,23395,32652,52787,8460,20281,11045,24259,42458,11349,15094,36440,16411
"2","X2007",387873,27591,21814,21795,10796,23869,34071,55140,8493,20967,11196,25474,43858,11971,15616,38114,17108
"3","X2008",414499,29847,23253,23009,11351,25512,36852,58714,9177,22224,11945,27430,46994,12736,16339,40925,18191
"4","X2009",417589,29826,23059,22964,11499,26052,37286,59841,9280,22368,12202,27343,47860,12741,16538,40882,17848
"5","X2010",413300,29549,22596,22635,10939,25526,37049,60756,9163,21990,11928,26890,47814,12445,15771,40909,17340
"6","X2011",388416,27660,20971,21363,10421,23952,35524,57258,8686,21130,11155,25059,44803,11600,14750,38082,16002
"7","X2012",386257,27239,20764,21214,10367,23851,35117,57281,8939,21064,11161,25052,44565,11510,14330,37833,15970
"8","X2013",369576,25805,19853,19738,9737,22420,34307,55400,8227,20373,10619,23938,42829,10720,13624,36561,15425
"9","X2014",375160,27174,20031,19828,9716,22704,34419,57139,8593,19953,11029,24610,42720,10756,13958,37000,15530
"10","X2015",369308,26258,19190,19715,9420,22113,34721,57456,8289,19566,10825,24596,41611,10579,13121,36760,15088
"11","X2016",382257,27452,19840,19666,9734,22794,36331,59586,8634,20262,11373,25865,42742,10610,13443,38237,15688
"12","X2017",401982,28401,20900,20898,10300,23782,38161,61850,9083,21927,12054,27481,44971,10915,14533,40450,16276
"13","X2018",388178,27790,19866,20101,9467,23017,37864,60485,8596,21533,11790,26498,42596,10721,13687,38778,15389
