"","Year","Rich","Avg","Poor"
"1","X2006",42503.3333333333,20080,15719
"2","X2007",43463.6666666667,20593,15995
"3","X2008",43909.6666666667,20365.6666666667,15960
"4","X2009",44691.6666666667,20695,16351.6666666667
"5","X2010",43609.6666666667,20387.3333333333,15931
"6","X2011",43395,20042.3333333333,15856
"7","X2012",44642.6666666667,20465,15944.3333333333
"8","X2013",44638,20594,16308
"9","X2014",43745,19769.3333333333,15685
"10","X2015",45663.6666666667,20601.3333333333,16325.3333333333
"11","X2016",44797,20231,16211
"12","X2017",46893,20903,16792
"13","X2018",47958.3333333333,21733,17208
