"","YEAR","TOTAL","Dolnoslaskie","Kujawsko-pomorskie","Lubelskie","Lubuskie","Lodzkie","Malopolskie","Mazowieckie","Opolskie","Podkarpackie","Podlaskie","Pomorskie","Slaskie","Swietokrzyskie","Warminsko-mazurskie","Wielkopolskie","Zachodniopomorskie"
"1","X2006",147467,8292,7584,14229,3472,11322,14203,19775,4606,11341,6319,5411,9389,8299,5203,13231,4791
"2","X2007",150731,8578,7836,14610,3549,11688,14527,20236,4769,11463,6249,5603,10011,8151,5370,13328,4763
"3","X2008",150749,8836,7493,14777,3607,11388,14808,19677,4782,11445,6084,5775,10126,8211,5303,13362,5075
"4","X2009",153168,8906,7763,14692,3517,11623,14749,20922,4846,11587,6329,5834,10208,8164,5469,13624,4935
"5","X2010",151026,8639,7806,14203,3583,11499,14719,20421,4836,11463,6079,5716,10163,8399,5280,13129,5091
"6","X2011",149977,8519,7508,14136,3650,11087,14892,20489,4884,11402,5913,5787,9986,8144,5327,13299,4954
"7","X2012",151773,8852,7726,13781,3519,11460,14995,20494,4959,11603,5983,6167,10364,8107,5557,13302,4904
"8","X2013",152215,8705,7679,13867,3684,11267,15052,20264,5009,11572,5967,5876,10328,8290,5708,13762,5185
"9","X2014",146770,8534,7361,13330,3492,10704,14506,19830,4786,11272,5877,5846,9990,7903,5364,13100,4875
"10","X2015",152854,8896,7641,13767,3440,11055,15218,20341,5070,11757,5998,6230,10548,8373,5563,13947,5010
"11","X2016",151260,8882,7737,13181,3509,10838,15185,20109,4858,11645,6063,6409,10493,7967,5687,13684,5013
"12","X2017",155506,9106,7890,13760,3664,11192,15405,20962,5278,11706,5997,6410,10933,8175,5856,14091,5081
"13","X2018",158920,9455,8499,13693,3701,11168,15777,21132,5004,11976,6146,6758,11210,8237,6092,14773,5299
