"","YEAR","TOTAL","Dolnoslaskie","Kujawsko-pomorskie","Lubelskie","Lubuskie","Lodzkie","Malopolskie","Mazowieckie","Opolskie","Podkarpackie","Podlaskie","Pomorskie","Slaskie","Swietokrzyskie","Warminsko-mazurskie","Wielkopolskie","Zachodniopomorskie"
"1","X2006",369686,29082,19622,22678,9275,31343,28697,52092,9421,17563,11879,18766,46336,13803,12600,30872,15657
"2","X2007",377226,29815,20327,23323,9452,32000,29430,52840,9622,17910,11742,19566,47736,13709,12920,31017,15817
"3","X2008",379399,30465,20027,23428,9572,31498,29727,53248,9809,18225,11641,19574,48016,13891,12811,31146,16321
"4","X2009",384940,30872,20389,23703,9780,31916,29840,54630,9718,18675,12165,19656,48573,13797,13187,31668,16371
"5","X2010",378478,29721,20453,23037,9488,31221,29633,53389,9882,18288,11814,19319,47719,14006,12942,31037,16529
"6","X2011",375501,29396,19663,22981,9648,30816,29727,53080,9719,18214,11647,19332,47709,13725,12940,30755,16149
"7","X2012",384788,30446,20436,22562,9607,31352,30588,54454,10180,18402,11856,20473,49028,13957,13415,31536,16496
"8","X2013",387312,30498,20485,22849,10046,31251,30277,54260,10267,18593,12152,20084,49156,14193,13923,32292,16986
"9","X2014",376467,29910,20028,22107,9553,29727,29611,53494,9808,18361,11850,20126,47831,13627,13098,31057,16279
"10","X2015",394921,31540,20523,22816,10156,31125,31384,55030,10468,19419,12302,21035,50421,14409,13858,33169,17266
"11","X2016",388009,30566,20525,22284,9955,30213,30716,54867,10006,19103,12271,21145,48958,13948,14078,32327,17047
"12","X2017",402852,32038,21252,23427,10285,31172,31852,57237,10880,19327,12526,21650,51404,14330,14423,33261,17788
"13","X2018",414200,32991,22629,23682,10981,31589,32467,58725,10707,19636,12969,22395,52159,14619,14973,35121,18557
