"","Year","Rich","Avg","Poor"
"1","X2006",3940470,2979822.33333333,1466519.66666667
"2","X2007",3951468.66666667,2972555.33333333,1464658.66666667
"3","X2008",3963082.66666667,2968997.33333333,1464271.33333333
"4","X2009",3976239.33333333,2966553,1463478.66666667
"5","X2010",3990810.33333333,2963760.66666667,1462109
"6","X2011",4029292.33333333,2975633.66666667,1484483.66666667
"7","X2012",4039344.33333333,2970490.66666667,1482032.33333333
"8","X2013",4048145.66666667,2961630.33333333,1478005
"9","X2014",4058475.33333333,2954285.66666667,1474191.33333333
"10","X2015",4065685,2946077.33333333,1469112
"11","X2016",4076594.33333333,2940053.33333333,1465813.66666667
"12","X2017",4088402.33333333,2934545,1462403.33333333
"13","X2018",4099319.33333333,2926733,1457186.33333333
