"","YEAR","TOTAL","Dolnoslaskie","Kujawsko-pomorskie","Lubelskie","Lubuskie","Lodzkie","Malopolskie","Mazowieckie","Opolskie","Podkarpackie","Podlaskie","Pomorskie","Slaskie","Swietokrzyskie","Warminsko-mazurskie","Wielkopolskie","Zachodniopomorskie"
"1","X2006",14756601,839664,799121,1159717,362969,908910,1653060,1825002,494126,1247627,484504,726342,1003057,700006,570949,1456974,524573
"2","X2007",14798756,844874,803559,1157557,364540,908812,1659285,1832118,492693,1246673,482562,736046,1006922,696581,570972,1468835,526727
"3","X2008",14847695,849314,808456,1155800,365906,910204,1669820,1839990,491443,1240030,481397,744408,1010606,696552,572094,1482776,528899
"4","X2009",14889142,854993,812353,1153282,367553,910843,1673441,1847456,491576,1238636,473970,753513,1016315,696394,572779,1495451,530587
"5","X2010",14935654,861010,816630,1149253,369329,912434,1682256,1857139,491099,1233523,470548,762626,1022198,695757,574590,1508699,528563
"6","X2011",15152619,881921,831086,1162682,374466,918273,1704943,1892561,483555,1247951,476955,785065,1032115,702609,590202,1531463,536772
"7","X2012",15196907,886105,834313,1160444,375723,918585,1714747,1899203,482468,1249225,475387,792591,1035887,701859,590460,1542079,537831
"8","X2013",15237750,890019,836282,1158931,376500,920072,1723329,1905347,480961,1250997,473141,800368,1039475,700445,589562,1553150,539171
"9","X2014",15262250,893610,839490,1154959,376565,920747,1730717,1907030,480240,1248859,471018,808791,1043050,699334,589702,1560357,537781
"10","X2015",15270810,895256,842081,1151692,356754,920741,1737717,1910889,478834,1249986,468910,820991,1045560,695960,589290,1568424,537725
"11","X2016",15303500,901592,844636,1143871,356979,921728,1744863,1916385,478030,1251508,466963,828800,1049130,694478,588418,1577995,538124
"12","X2017",15324305,906191,847945,1137952,357143,922890,1753530,1921103,467475,1252895,465397,839414,1052142,691556,587523,1585830,535319
"13","X2018",15343904,910722,849924,1133779,355624,923644,1761836,1923484,460653,1254183,463261,847912,1054776,684594,586019,1597644,535849
