"","YEAR","TOTAL","Dolnoslaskie","Kujawsko-pomorskie","Lubelskie","Lubuskie","Lodzkie","Malopolskie","Mazowieckie","Opolskie","Podkarpackie","Podlaskie","Pomorskie","Slaskie","Swietokrzyskie","Warminsko-mazurskie","Wielkopolskie","Zachodniopomorskie"
"1","X2006",23368878,2042653,1267250,1013049,645551,1657288,1618146,3346700,547815,849937,711597,1477253,3666080,579832,855934,1921528,1168265
"2","X2007",23316885,2033536,1262577,1008656,643941,1647086,1619751,3356370,544395,850665,710098,1474874,3647193,578969,855183,1918047,1165544
"3","X2008",23288181,2027745,1259462,1006032,643056,1638657,1617316,3364505,541597,859465,710073,1475104,3635059,576232,854979,1914841,1164058
"4","X2009",23278187,2021634,1256730,1003920,642494,1630989,1624829,3374711,539521,863096,715761,1476586,3624410,573726,854339,1912830,1162611
"5","X2010",23264383,2016830,1252913,1002642,641695,1621923,1627838,3385772,537486,869982,717781,1477693,3613684,570257,852651,1910727,1164509
"6","X2011",23385828,2034656,1267284,1009175,648692,1615408,1641853,3393043,530395,880736,724027,1498435,3594242,575507,862394,1924014,1185967
"7","X2012",23336392,2028257,1262091,1005207,647594,1606066,1639330,3402557,527735,880726,723303,1497479,3579983,572136,860237,1920117,1183574
"8","X2013",23257909,2019978,1256282,997219,644970,1593021,1637252,3411493,523455,878297,721824,1495443,3559972,567794,857353,1913866,1179690
"9","X2014",23216352,2014847,1250502,992787,643742,1583389,1637619,3427481,520618,880328,720900,1493286,3542874,563842,854265,1912222,1177650
"10","X2015",23166429,2008951,1244129,988034,661321,1572862,1634901,3438225,517177,877671,719890,1486719,3525289,561219,850385,1906899,1172757
"11","X2016",23129492,2002118,1239291,989469,660397,1563595,1637397,3449513,515006,876148,719662,1486811,3510034,558422,847949,1903630,1170050
"12","X2017",23109253,1996356,1234999,988365,659689,1553425,1637850,3463514,522594,876243,719151,1484837,3496038,556176,846422,1903380,1170214
"13","X2018",23067244,1990503,1227851,983840,658924,1542678,1638741,3479928,525853,874832,718272,1485611,3478789,556952,842964,1896325,1165181
