"","YEAR","TOTAL","Dolnoslaskie","Kujawsko-pomorskie","Lubelskie","Lubuskie","Lodzkie","Malopolskie","Mazowieckie","Opolskie","Podkarpackie","Podlaskie","Pomorskie","Slaskie","Swietokrzyskie","Warminsko-mazurskie","Wielkopolskie","Zachodniopomorskie"
"1","X2006",38125479,2882317,2066371,2172766,1008520,2566198,3271206,5171702,1041941,2097564,1196101,2203595,4669137,1279838,1426883,3378502,1692838
"2","X2007",38115641,2878410,2066136,2166213,1008481,2555898,3279036,5188488,1037088,2097338,1192660,2210920,4654115,1275550,1426155,3386882,1692271
"3","X2008",38135876,2877059,2067918,2161832,1008962,2548861,3287136,5204495,1033040,2099495,1191470,2219512,4645665,1272784,1427073,3397617,1692957
"4","X2009",38167329,2876627,2069083,2157202,1010047,2541832,3298270,5222167,1031097,2101732,1189731,2230099,4640725,1270120,1427118,3408281,1693198
"5","X2010",38200037,2877840,2069543,2151895,1011024,2534357,3310094,5242911,1028585,2103505,1188329,2240319,4635882,1266014,1427241,3419426,1693072
"6","X2011",38538447,2916577,2098370,2171857,1023158,2533681,3346796,5285604,1013950,2128687,1200982,2283500,4626357,1278116,1452596,3455477,1722739
"7","X2012",38533299,2914362,2096404,2165651,1023317,2524651,3354077,5301760,1010203,2129951,1198690,2290070,4615870,1273995,1450697,3462196,1721405
"8","X2013",38495659,2909997,2092564,2156150,1021470,2513093,3360581,5316840,1004416,2129294,1194965,2295811,4599447,1268239,1446915,3467016,1718861
"9","X2014",38478602,2908457,2089992,2147746,1020307,2504136,3368336,5334511,1000858,2129187,1191918,2302077,4585924,1263176,1443967,3472579,1715431
"10","X2015",38437239,2904207,2086210,2139726,1018075,2493603,3372618,5349114,996011,2127657,1188800,2307710,4570849,1257179,1439675,3475323,1710482
"11","X2016",38432992,2903710,2083927,2133340,1017376,2485323,3382260,5365898,993036,2127656,1186625,2315611,4559164,1252900,1436367,3481625,1708174
"12","X2017",38433558,2902547,2082944,2126317,1016832,2476315,3391380,5384617,990069,2129138,1184548,2324251,4548180,1247732,1433945,3489210,1705533
"13","X2018",38411148,2901225,2077775,2117619,1014548,2466322,3400577,5403412,986506,2129015,1181533,2333523,4533565,1241546,1428983,3493969,1701030
