VOIVODSHIPS;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
TOTAL;369686;377226;379399;384940;378478;375501;384788;387312;376467;394921;388009;402852;414200
Dolnośląskie;29082;29815;30465;30872;29721;29396;30446;30498;29910;31540;30566;32038;32991
Kujawsko-pomorskie;19622;20327;20027;20389;20453;19663;20436;20485;20028;20523;20525;21252;22629
Lubelskie;22678;23323;23428;23703;23037;22981;22562;22849;22107;22816;22284;23427;23682
Lubuskie;9275;9452;9572;9780;9488;9648;9607;10046;9553;10156;9955;10285;10981
Łódzkie;31343;32000;31498;31916;31221;30816;31352;31251;29727;31125;30213;31172;31589
Małopolskie;28697;29430;29727;29840;29633;29727;30588;30277;29611;31384;30716;31852;32467
Mazowieckie;52092;52840;53248;54630;53389;53080;54454;54260;53494;55030;54867;57237;58725
Opolskie;9421;9622;9809;9718;9882;9719;10180;10267;9808;10468;10006;10880;10707
Podkarpackie;17563;17910;18225;18675;18288;18214;18402;18593;18361;19419;19103;19327;19636
Podlaskie;11879;11742;11641;12165;11814;11647;11856;12152;11850;12302;12271;12526;12969
Pomorskie;18766;19566;19574;19656;19319;19332;20473;20084;20126;21035;21145;21650;22395
Śląskie;46336;47736;48016;48573;47719;47709;49028;49156;47831;50421;48958;51404;52159
Świętokrzyskie;13803;13709;13891;13797;14006;13725;13957;14193;13627;14409;13948;14330;14619
Warmińsko-mazurskie;12600;12920;12811;13187;12942;12940;13415;13923;13098;13858;14078;14423;14973
Wielkopolskie;30872;31017;31146;31668;31037;30755;31536;32292;31057;33169;32327;33261;35121
Zachodniopomorskie;15657;15817;16321;16371;16529;16149;16496;16986;16279;17266;17047;17788;18557
Miasta   Urban areas;222219;226495;228650;231772;227452;225524;233015;235097;229697;242067;236749;247346;255280
Dolnośląskie;20790;21237;21629;21966;21082;20877;21594;21793;21376;22644;21684;22932;23536
Kujawsko-pomorskie;12038;12491;12534;12626;12647;12155;12710;12806;12667;12882;12788;13362;14130
Lubelskie;8449;8713;8651;9011;8834;8845;8781;8982;8777;9049;9103;9667;9989
Lubuskie;5803;5903;5965;6263;5905;5998;6088;6362;6061;6716;6446;6621;7280
Łódzkie;20021;20312;20110;20293;19722;19729;19892;19984;19023;20070;19375;19980;20421
Małopolskie;14494;14903;14919;15091;14914;14835;15593;15225;15105;16166;15531;16447;16690
Mazowieckie;32317;32604;33571;33708;32968;32591;33960;33996;33664;34689;34758;36275;37593
Opolskie;4815;4853;5027;4872;5046;4835;5221;5258;5022;5398;5148;5602;5703
Podkarpackie;6222;6447;6780;7088;6825;6812;6799;7021;7089;7662;7458;7621;7660
Podlaskie;5560;5493;5557;5836;5735;5734;5873;6185;5973;6304;6208;6529;6823
Pomorskie;13355;13963;13799;13822;13603;13545;14306;14208;14280;14805;14736;15240;15637
Śląskie;36947;37725;37890;38365;37556;37723;38664;38828;37841;39873;38465;40471;40949
Świętokrzyskie;5504;5558;5680;5633;5607;5581;5850;5903;5724;6036;5981;6155;6382
Warmińsko-mazurskie;7397;7550;7508;7718;7662;7613;7858;8215;7734;8295;8391;8567;8881
Wielkopolskie;17641;17689;17784;18044;17908;17456;18234;18530;17957;19222;18643;19170;20348
Zachodniopomorskie;10866;11054;11246;11436;11438;11195;11592;11801;11404;12256;12034;12707;13258
Wieś   Rural areas;147467;150731;150749;153168;151026;149977;151773;152215;146770;152854;151260;155506;158920
Dolnośląskie;8292;8578;8836;8906;8639;8519;8852;8705;8534;8896;8882;9106;9455
Kujawsko-pomorskie;7584;7836;7493;7763;7806;7508;7726;7679;7361;7641;7737;7890;8499
Lubelskie;14229;14610;14777;14692;14203;14136;13781;13867;13330;13767;13181;13760;13693
Lubuskie;3472;3549;3607;3517;3583;3650;3519;3684;3492;3440;3509;3664;3701
Łódzkie;11322;11688;11388;11623;11499;11087;11460;11267;10704;11055;10838;11192;11168
Małopolskie;14203;14527;14808;14749;14719;14892;14995;15052;14506;15218;15185;15405;15777
Mazowieckie;19775;20236;19677;20922;20421;20489;20494;20264;19830;20341;20109;20962;21132
Opolskie;4606;4769;4782;4846;4836;4884;4959;5009;4786;5070;4858;5278;5004
Podkarpackie;11341;11463;11445;11587;11463;11402;11603;11572;11272;11757;11645;11706;11976
Podlaskie;6319;6249;6084;6329;6079;5913;5983;5967;5877;5998;6063;5997;6146
Pomorskie;5411;5603;5775;5834;5716;5787;6167;5876;5846;6230;6409;6410;6758
Śląskie;9389;10011;10126;10208;10163;9986;10364;10328;9990;10548;10493;10933;11210
Świętokrzyskie;8299;8151;8211;8164;8399;8144;8107;8290;7903;8373;7967;8175;8237
Warmińsko-mazurskie;5203;5370;5303;5469;5280;5327;5557;5708;5364;5563;5687;5856;6092
Wielkopolskie;13231;13328;13362;13624;13129;13299;13302;13762;13100;13947;13684;14091;14773
Zachodniopomorskie;4791;4763;5075;4935;5091;4954;4904;5185;4875;5010;5013;5081;5299
