Voivodeship;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
TOTAL;374244;387873;414499;417589;413300;388416;386257;369576;375160;369308;382257;401982;388178
Dolnośląskie;26552;27591;29847;29826;29549;27660;27239;25805;27174;26258;27452;28401;27790
Kujawsko-pomorskie;21142;21814;23253;23059;22596;20971;20764;19853;20031;19190;19840;20900;19866
Lubelskie;21496;21795;23009;22964;22635;21363;21214;19738;19828;19715;19666;20898;20101
Lubuskie;10423;10796;11351;11499;10939;10421;10367;9737;9716;9420;9734;10300;9467
Łódzkie;23395;23869;25512;26052;25526;23952;23851;22420;22704;22113;22794;23782;23017
Małopolskie;32652;34071;36852;37286;37049;35524;35117;34307;34419;34721;36331;38161;37864
Mazowieckie;52787;55140;58714;59841;60756;57258;57281;55400;57139;57456;59586;61850;60485
Opolskie;8460;8493;9177;9280;9163;8686;8939;8227;8593;8289;8634;9083;8596
Podkarpackie;20281;20967;22224;22368;21990;21130;21064;20373;19953;19566;20262;21927;21533
Podlaskie;11045;11196;11945;12202;11928;11155;11161;10619;11029;10825;11373;12054;11790
Pomorskie;24259;25474;27430;27343;26890;25059;25052;23938;24610;24596;25865;27481;26498
Śląskie;42458;43858;46994;47860;47814;44803;44565;42829;42720;41611;42742;44971;42596
Świętokrzyskie;11349;11971;12736;12741;12445;11600;11510;10720;10756;10579;10610;10915;10721
Warmińsko-mazurskie;15094;15616;16339;16538;15771;14750;14330;13624;13958;13121;13443;14533;13687
Wielkopolskie;36440;38114;40925;40882;40909;38082;37833;36561;37000;36760;38237;40450;38778
Zachodniopomorskie;16411;17108;18191;17848;17340;16002;15970;15425;15530;15088;15688;16276;15389
Miasta   Urban areas;218000;225638;241288;246429;241920;225701;223815;213749;217699;217391;226296;236143;228714
Dolnośląskie;17999;18686;20459;20267;20100;18747;18368;17525;18333;17853;18775;19078;18877
Kujawsko-pomorskie;11777;12110;12853;13184;12741;11762;11411;11116;11170;11015;11446;11865;11211
Lubelskie;9540;9667;10078;10647;10279;9524;9485;8828;9029;9300;9135;9623;9113
Lubuskie;6408;6552;6894;7086;6646;6397;6347;5926;5923;6063;6255;6550;6158
Łódzkie;14209;14586;15509;16109;15735;14691;14450;13567;13818;13466;13988;14344;14006
Małopolskie;14780;15342;16593;17336;17057;16108;15977;15581;15566;16248;17417;18187;17859
Mazowieckie;34102;35440;38040;38428;38989;36979;36769;35476;37130;37525;39367;40250;39811
Opolskie;4517;4519;4786;4862;4765;4442;4561;4138;4344;4311;4388;4756;4532
Podkarpackie;7559;7918;8516;8817;8576;8232;8191;7943;7803;7771;8056;8539;8343
Podlaskie;6330;6500;6914;7305;7133;6610;6697;6385;6652;6711;7078;7770;7561
Pomorskie;14773;15365;16461;16678;16242;14905;14887;14248;14583;14990;15822;16384;15788
Śląskie;33409;34097;36471;37078;36739;34077;33962;32481;32261;31431;32329;33995;32121
Świętokrzyskie;4730;4923;5330;5452;5323;4905;4848;4339;4428;4378;4347;4470;4447
Warmińsko-mazurskie;8153;8493;8987;9443;8688;8061;7878;7411;7584;7344;7550;8424;8401
Wielkopolskie;19246;20261;21452;22171;21715;19896;19735;18938;18984;19053;19982;20980;20144
Zachodniopomorskie;10468;11179;11945;11566;11192;10365;10249;9847;10091;9932;10361;10928;10342
Wieś   Rural areas;156244;162235;173211;171160;171380;162715;162442;155827;157461;151917;155961;165839;159464
Dolnośląskie;8553;8905;9388;9559;9449;8913;8871;8280;8841;8405;8677;9323;8913
Kujawsko-pomorskie;9365;9704;10400;9875;9855;9209;9353;8737;8861;8175;8394;9035;8655
Lubelskie;11956;12128;12931;12317;12356;11839;11729;10910;10799;10415;10531;11275;10988
Lubuskie;4015;4244;4457;4413;4293;4024;4020;3811;3793;3357;3479;3750;3309
Łódzkie;9186;9283;10003;9943;9791;9261;9401;8853;8886;8647;8806;9438;9011
Małopolskie;17872;18729;20259;19950;19992;19416;19140;18726;18853;18473;18914;19974;20005
Mazowieckie;18685;19700;20674;21413;21767;20279;20512;19924;20009;19931;20219;21600;20674
Opolskie;3943;3974;4391;4418;4398;4244;4378;4089;4249;3978;4246;4327;4064
Podkarpackie;12722;13049;13708;13551;13414;12898;12873;12430;12150;11795;12206;13388;13190
Podlaskie;4715;4696;5031;4897;4795;4545;4464;4234;4377;4114;4295;4284;4229
Pomorskie;9486;10109;10969;10665;10648;10154;10165;9690;10027;9606;10043;11097;10710
Śląskie;9049;9761;10523;10782;11075;10726;10603;10348;10459;10180;10413;10976;10475
Świętokrzyskie;6619;7048;7406;7289;7122;6695;6662;6381;6328;6201;6263;6445;6274
Warmińsko-mazurskie;6941;7123;7352;7095;7083;6689;6452;6213;6374;5777;5893;6109;5286
Wielkopolskie;17194;17853;19473;18711;19194;18186;18098;17623;18016;17707;18255;19470;18634
Zachodniopomorskie;5943;5929;6246;6282;6148;5637;5721;5578;5439;5156;5327;5348;5047
