VOIVODSHIPS;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
TOTAL;38125479;38115641;38135876;38167329;38200037;38538447;38533299;38495659;38478602;38437239;38432992;38433558;38411148
Dolnośląskie;2882317;2878410;2877059;2876627;2877840;2916577;2914362;2909997;2908457;2904207;2903710;2902547;2901225
Kujawsko-pomorskie;2066371;2066136;2067918;2069083;2069543;2098370;2096404;2092564;2089992;2086210;2083927;2082944;2077775
Lubelskie;2172766;2166213;2161832;2157202;2151895;2171857;2165651;2156150;2147746;2139726;2133340;2126317;2117619
Lubuskie;1008520;1008481;1008962;1010047;1011024;1023158;1023317;1021470;1020307;1018075;1017376;1016832;1014548
Łódzkie;2566198;2555898;2548861;2541832;2534357;2533681;2524651;2513093;2504136;2493603;2485323;2476315;2466322
Małopolskie;3271206;3279036;3287136;3298270;3310094;3346796;3354077;3360581;3368336;3372618;3382260;3391380;3400577
Mazowieckie;5171702;5188488;5204495;5222167;5242911;5285604;5301760;5316840;5334511;5349114;5365898;5384617;5403412
Opolskie;1041941;1037088;1033040;1031097;1028585;1013950;1010203;1004416;1000858;996011;993036;990069;986506
Podkarpackie;2097564;2097338;2099495;2101732;2103505;2128687;2129951;2129294;2129187;2127657;2127656;2129138;2129015
Podlaskie;1196101;1192660;1191470;1189731;1188329;1200982;1198690;1194965;1191918;1188800;1186625;1184548;1181533
Pomorskie;2203595;2210920;2219512;2230099;2240319;2283500;2290070;2295811;2302077;2307710;2315611;2324251;2333523
Śląskie;4669137;4654115;4645665;4640725;4635882;4626357;4615870;4599447;4585924;4570849;4559164;4548180;4533565
Świętokrzyskie;1279838;1275550;1272784;1270120;1266014;1278116;1273995;1268239;1263176;1257179;1252900;1247732;1241546
Warmińsko-mazurskie;1426883;1426155;1427073;1427118;1427241;1452596;1450697;1446915;1443967;1439675;1436367;1433945;1428983
Wielkopolskie;3378502;3386882;3397617;3408281;3419426;3455477;3462196;3467016;3472579;3475323;3481625;3489210;3493969
Zachodniopomorskie;1692838;1692271;1692957;1693198;1693072;1722739;1721405;1718861;1715431;1710482;1708174;1705533;1701030
Miasta   Urban areas;23368878;23316885;23288181;23278187;23264383;23385828;23336392;23257909;23216352;23166429;23129492;23109253;23067244
Dolnośląskie;2042653;2033536;2027745;2021634;2016830;2034656;2028257;2019978;2014847;2008951;2002118;1996356;1990503
Kujawsko-pomorskie;1267250;1262577;1259462;1256730;1252913;1267284;1262091;1256282;1250502;1244129;1239291;1234999;1227851
Lubelskie;1013049;1008656;1006032;1003920;1002642;1009175;1005207;997219;992787;988034;989469;988365;983840
Lubuskie;645551;643941;643056;642494;641695;648692;647594;644970;643742;661321;660397;659689;658924
Łódzkie;1657288;1647086;1638657;1630989;1621923;1615408;1606066;1593021;1583389;1572862;1563595;1553425;1542678
Małopolskie;1618146;1619751;1617316;1624829;1627838;1641853;1639330;1637252;1637619;1634901;1637397;1637850;1638741
Mazowieckie;3346700;3356370;3364505;3374711;3385772;3393043;3402557;3411493;3427481;3438225;3449513;3463514;3479928
Opolskie;547815;544395;541597;539521;537486;530395;527735;523455;520618;517177;515006;522594;525853
Podkarpackie;849937;850665;859465;863096;869982;880736;880726;878297;880328;877671;876148;876243;874832
Podlaskie;711597;710098;710073;715761;717781;724027;723303;721824;720900;719890;719662;719151;718272
Pomorskie;1477253;1474874;1475104;1476586;1477693;1498435;1497479;1495443;1493286;1486719;1486811;1484837;1485611
Śląskie;3666080;3647193;3635059;3624410;3613684;3594242;3579983;3559972;3542874;3525289;3510034;3496038;3478789
Świętokrzyskie;579832;578969;576232;573726;570257;575507;572136;567794;563842;561219;558422;556176;556952
Warmińsko-mazurskie;855934;855183;854979;854339;852651;862394;860237;857353;854265;850385;847949;846422;842964
Wielkopolskie;1921528;1918047;1914841;1912830;1910727;1924014;1920117;1913866;1912222;1906899;1903630;1903380;1896325
Zachodniopomorskie;1168265;1165544;1164058;1162611;1164509;1185967;1183574;1179690;1177650;1172757;1170050;1170214;1165181
Wieś   Rural areas;14756601;14798756;14847695;14889142;14935654;15152619;15196907;15237750;15262250;15270810;15303500;15324305;15343904
Dolnośląskie;839664;844874;849314;854993;861010;881921;886105;890019;893610;895256;901592;906191;910722
Kujawsko-pomorskie;799121;803559;808456;812353;816630;831086;834313;836282;839490;842081;844636;847945;849924
Lubelskie;1159717;1157557;1155800;1153282;1149253;1162682;1160444;1158931;1154959;1151692;1143871;1137952;1133779
Lubuskie;362969;364540;365906;367553;369329;374466;375723;376500;376565;356754;356979;357143;355624
Łódzkie;908910;908812;910204;910843;912434;918273;918585;920072;920747;920741;921728;922890;923644
Małopolskie;1653060;1659285;1669820;1673441;1682256;1704943;1714747;1723329;1730717;1737717;1744863;1753530;1761836
Mazowieckie;1825002;1832118;1839990;1847456;1857139;1892561;1899203;1905347;1907030;1910889;1916385;1921103;1923484
Opolskie;494126;492693;491443;491576;491099;483555;482468;480961;480240;478834;478030;467475;460653
Podkarpackie;1247627;1246673;1240030;1238636;1233523;1247951;1249225;1250997;1248859;1249986;1251508;1252895;1254183
Podlaskie;484504;482562;481397;473970;470548;476955;475387;473141;471018;468910;466963;465397;463261
Pomorskie;726342;736046;744408;753513;762626;785065;792591;800368;808791;820991;828800;839414;847912
