Date;Heating;Heating fee;Hot water;Cold Water;Electricity;Internet;Waste;Rent;Parking;TOTAL;Others
Sep-18;0;29,38;53,65;42,67;61,83;47;19;2500;0;2753,5;0
Oct-18;26,31;32,15;72,4;43,6;68,51;47;19;2500;0;2809;0
Nov-18;106,13;32,15;78,62;43,32;65,63;47;19;2500;350;3241,9;0
Dec-18;94,08;32,15;88,89;42,06;69,42;47;19;2500;350;3242,6;0
Jan-19;115,2;32,15;83,27;34,99;67,47;47;19;2500;350;3249,1;0
Feb-19;80,11;32,14;80,13;31,26;60,57;47;19;2500;350;3200,2;0
Mar-19;95,4;32,15;67,05;31,22;64,78;47;19;2500;350;3206,6;0
Apr-19;17,49;32,63;53,49;39,13;64,81;47;19;2500;200;2827,92;-145,63
May-19;2,42;32,63;46,8;44,41;62,04;47;19;2500;200;2954,3;0
Jun-19;0;32,63;41,06;61,86;78,86;47;19;2500;200;2980,41;0
Jul-19;0;32,63;31,31;39,39;65,18;47;19;2500;200;2934,51;0
Aug-19;0;32,63;19,98;34,01;63,52;47;19;2500;200;2916,14;0
Sep-19;0;32,63;27,69;37,67;63,36;47;19;2500;200;2927,35;0
Oct-19;21,74;32,63;33,28;39,36;70,84;47;19;2500;200;2963,85;0
Nov-19;45,88;32,63;36,84;36,5;36,5;47;19;2500;200;2954,35;0
Dec-19;59,69;32,63;37,88;34,08;75,23;47;19;2500;200;3005,51;0
Jan-20;64,89;32,63;37,05;37,59;67,31;47;19;2500;200;3005,47;0
Feb-20;89,78;34,45;53,63;37,1;71,71;47;19;2500;200;3172,77;120,1
Mar-20;87,64;34,45;58,01;46.79;65,93;47;65;2500;200;3058,03;0
Apr-20;0;34,45;58,01;46,79;65,93;47;65;2500;200;3017,18;0
May-20;0;34,45;62,84;51,32;65,93;47;65;2500;200;3026,54;0
Jun-20;0;34,45;50,27;46,1;178,69;47;65;2500;200;3121,51;0
Jul-20;0;34,45;44,23;52,4;74,45;47;65;2500;200;3159,13;141,6
