Date;Heating;Heating fee;Hot water;Cold Water;Electricity;Internet;Waste;Rent;Parking;TOTAL;Others
01/09/2018;0;29,38;53,65;42,67;61,83;47;19;2500;0;2753,5;0
01/10/2018;26,31;32,15;72,4;43,6;68,51;47;19;2500;0;2809;0
01/11/2018;106,13;32,15;78,62;43,32;65,63;47;19;2500;350;3241,9;0
01/12/2018;94,08;32,15;88,89;42,06;69,42;47;19;2500;350;3242,6;0
01/01/2019;115,2;32,15;83,27;34,99;67,47;47;19;2500;350;3249,1;0
01/02/2019;80,11;32,14;80,13;31,26;60,57;47;19;2500;350;3200,2;0
01/03/2019;95,4;32,15;67,05;31,22;64,78;47;19;2500;350;3206,6;0
01/04/2019;17,49;32,63;53,49;39,13;64,81;47;19;2500;200;2827,92;-145,63
01/05/2019;2,42;32,63;46,8;44,41;62,04;47;19;2500;200;2954,3;0
01/06/2019;0;32,63;41,06;61,86;78,86;47;19;2500;200;2980,41;0
01/07/2019;0;32,63;31,31;39,39;65,18;47;19;2500;200;2934,51;0
01/08/2019;0;32,63;19,98;34,01;63,52;47;19;2500;200;2916,14;0
01/09/2019;0;32,63;27,69;37,67;63,36;47;19;2500;200;2927,35;0
01/10/2019;21,74;32,63;33,28;39,36;70,84;47;19;2500;200;2963,85;0
01/11/2019;45,88;32,63;36,84;36,5;36,5;47;19;2500;200;2954,35;0
01/12/2019;59,69;32,63;37,88;34,08;75,23;47;19;2500;200;3005,51;0
01/01/2020;64,89;32,63;37,05;37,59;67,31;47;19;2500;200;3005,47;0
01/02/2020;89,78;34,45;53,63;37,1;71,71;47;19;2500;200;3172,77;120,1
01/03/2020;87,64;34,45;58,01;46,79;65,93;47;65;2500;200;3058,03;0
01/04/2020;0;34,45;58,01;46,79;65,93;47;65;2500;200;3017,18;0
01/05/2020;0;34,45;62,84;51,32;65,93;47;65;2500;200;3026,54;0
01/06/2020;0;34,45;50,27;46,1;178,69;47;65;2500;200;3121,51;0
01/07/2020;0;34,45;44,23;52,4;74,45;47;65;2500;200;3159,13;141,6
